x,y
360,20
380,20
400,20
420,20
440,20
460,20
400,340
420,340
440,340
460,340
480,20
480,40
480,340
480,320
480,300
480,280
480,260
480,240
480,220
480,200
480,180
460,180
460,160
420,80
420,100
440,100
440,120
440,140
460,140
480,140
480,100
480,120
480,80
480,60
460,60
440,60
420,60
400,60
160,300
180,300
200,300
220,300
240,300
260,300
280,300
280,280
300,260
300,280
300,240
280,240
280,220
260,220
240,220
220,220
200,220
180,220
180,180
200,180
220,180
240,180
260,180
280,180
280,160
300,160
300,140
300,120
280,120
280,100
260,100
240,100
220,100
200,100
180,100
160,100
160,120
80,260
80,240
80,200
80,220
80,180
80,160
80,140
80,120
80,100
80,80
100,80
100,60
100,40
100,20
80,20
60,20
40,20
20,40
20,20
20,60
20,80
20,120
20,100
20,140
20,200
20,240
20,260
100,340
100,320
60,320
60,340
20,340
20,320
20,300
40,300
60,300
80,300
100,300
120,300
140,300
160,280
160,240
160,220
160,200
160,180
160,160
260,260
240,260
220,260
200,260
180,260
160,260
260,140
240,140
220,140
200,140
180,140
160,140
20,160
20,180
20,220
80,280
20,280
100,200
