x,y
220,280
180,280
200,280
240,280
260,280
280,260
260,240
220,240
240,240
200,240
180,240
280,140
200,120
220,120
240,120
260,120
260,160
240,160
220,160
200,160
180,160
180,120
480,160
460,120
460,100
460,80
440,80
380,140
360,320
440,300
420,260
440,220
400,320
400,300
400,280
400,260
400,240
400,220
400,200
420,180
420,160
460,320
460,300
460,260
460,280
460,240
460,220
460,200
440,180
440,160
420,140
420,120
400,100
400,80
380,60
360,40
400,40
380,40
420,40
440,40
460,40
80,60
80,40
60,40
40,40
60,80
40,80
60,120
40,120
60,160
40,160
60,200
40,200
60,240
40,240
60,280
40,280
40,320
40,340
80,320
80,340
120,340
120,320
100,280
100,260
100,240
100,220
100,180
100,160
100,140
100,120
100,100
320,340
340,320
360,280
360,260
360,240
360,220
360,200
360,180
360,160
360,140
360,120
360,100
340,80
320,40
320,60
300,40
280,40
260,40
240,40
200,40
120,40
120,60
120,80
140,140
140,120
140,160
140,180
140,220
140,280
140,260
140,240
140,200
160,320
180,320
200,320
220,320
240,320
260,320
280,320
300,300
320,280
320,260
320,240
300,220
180,200
200,200
240,200
220,200
260,200
280,200
300,180
320,140
320,160
320,120
300,100
260,80
280,80
240,80
220,80
200,80
180,80
160,80
220,40
180,40
160,40
