x,y
100,220
100,80
100,60
100,40
100,20
60,20
80,20
40,20
80,140
60,140
40,140
20,140
20,120
20,40
20,20
20,60
20,80
20,100
60,100
80,100
100,100
100,340
100,360
100,380
80,380
60,380
20,380
20,360
20,340
20,320
80,260
60,260
40,260
20,280
20,260
20,300
40,300
60,300
80,300
80,200
60,200
60,180
40,180
60,220
40,220
20,220
20,200
20,180
100,320
100,300
100,280
100,240
100,260
100,120
100,140
100,160
100,200
100,180
280,340
260,340
240,300
240,340
240,320
240,360
260,380
240,380
280,380
300,380
320,380
340,380
360,380
380,380
380,340
380,360
380,320
380,300
380,280
380,260
380,240
380,200
380,220
380,180
380,160
380,120
380,140
380,80
380,100
380,60
380,40
380,20
360,20
340,20
320,20
300,20
280,20
260,20
240,20
240,60
240,80
240,100
240,120
260,100
280,100
300,100
300,120
300,140
300,160
280,140
260,140
260,160
240,160
300,240
300,200
140,240
140,200
300,360
360,180
360,300
320,100
120,220
40,380
240,40
40,100
