x,y
260,120
180,360
160,360
140,360
120,360
360,120
360,140
360,160
360,200
360,220
360,240
360,260
360,280
360,320
360,340
360,360
340,360
320,360
280,360
260,360
280,320
260,320
160,320
180,320
220,300
220,340
220,320
220,360
220,380
320,320
320,300
320,280
280,280
300,260
320,260
320,240
320,200
320,120
320,140
320,160
320,180
280,160
300,180
280,240
280,200
240,260
220,260
200,260
240,180
200,180
280,120
160,280
160,240
140,260
120,240
120,320
120,300
160,200
160,160
160,120
180,120
40,200
20,160
40,160
60,160
80,160
80,180
80,220
80,240
60,240
40,240
20,240
40,280
60,280
80,280
80,320
60,320
80,340
80,360
60,360
40,360
40,340
40,320
80,120
60,120
40,120
120,280
120,260
120,200
120,120
140,180
120,160
120,140
120,180
220,180
220,160
240,140
200,140
220,140
360,80
360,60
360,40
280,40
300,40
320,40
320,60
320,80
300,80
280,80
260,80
260,60
260,40
220,80
220,100
220,40
220,60
220,20
180,40
160,40
140,40
180,60
180,80
160,80
140,80
120,80
120,60
120,40
80,80
80,40
80,60
60,80
60,40
40,40
40,80
40,60
