	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
year	171	2,023	0.670	2,022	2,024
Age	171	32.97	2.751	26	43
ServiceTime	171	7.583	3.040	1	18.06
Years	171	1.708	1.157	1	7
TotalSalary	171	1.982e+07	3.161e+07	94,000	1.850e+08
AAV	171	8.309e+06	7.871e+06	94,000	4.333e+07
Received_QO	171	0.0702	0.256	0	1
QO_outcome	171	0.00585	0.0765	0	1
QO_amount	91	2.575e+06	6.648e+06	0	2.030e+07
W	171	5.257	4.280	0	18
L	171	4.544	3.247	0	15
SV	171	2.111	5.536	0	34
G	171	73.26	44.10	2	267
GS	171	10.80	12.41	0	33
IP	171	84.24	54.00	1.100	196.1
K_per9	171	9.215	2.354	4.800	18
BB_per9	171	3.133	1.274	0	9
HR_per9	171	1.109	0.583	0	4.500
BABIP_allowed	171	0.289	0.0556	0	0.500
LOB_pct	171	0.736	0.0943	0.444	1
GB_pct	171	0.424	0.0900	0	0.800
HR_per_FB	171	0.117	0.0548	0	0.286
FB_Velo_avg	171	93.70	2.382	85.30	100.3
ERA	171	3.921	1.498	0	9
FIP	171	3.922	1.081	-0.710	7.460
xFIP	171	3.981	0.802	0.100	5.520
WAR_pitch	171	1.185	1.431	-1	6.200
careerWAR	171	12.02	14.52	-0.700	77.60
pitcher	171	1	0	1	1
large_market	171	0.345	0.477	0	1
logAAV	171	15.43	1.127	11.45	17.58
lefty	171	0.292	0.456	0	1
SP	171	0.503	0.501	0	1
					
